#FILE	GENE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ES-A-FC504-20OCT14-0213I_assembly.fasta	repUS1_3_rep(pVEF1)	97.40	plasmidfinder	AM296544	repUS1_3_rep(pVEF1)_AM296544
ES-A-FC504-20OCT14-0213I_assembly.fasta	rep11c_2_repA(pJS33)	83.93	plasmidfinder	EU370687	rep11c_2_repA(pJS33)_EU370687
ES-A-FC107-23FEB16-0797A_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0539_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0539_assembly.fasta	repUS11_rep(pTEF3)	95.48	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
ES-M-ST001-21JUL14-0029L_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-21JUL14-0029L_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
BP-R51-2_assembly.fasta	rep8b_1_repA(pEJ97p1)	99.80	plasmidfinder	AJ49170	rep8b_1_repA(pEJ97p1)_AJ49170
BP-R51-2_assembly.fasta	repUS1_3_rep(pVEF1)	98.19	plasmidfinder	AM296544	repUS1_3_rep(pVEF1)_AM296544
BP-R51-2_assembly.fasta	rep11b_1_repA(pEF1071)	99.59	plasmidfinder	AF164559	rep11b_1_repA(pEF1071)_AF164559
NS-1692_assembly.fasta	rep9a_1_repA(pAD1)	96.74	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
NS-1692_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-1692_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-08MAR16-0147C_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0563_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0563_assembly.fasta	rep14a_1_CDS2(pEFNP1)	100.00	plasmidfinder	AB038522	rep14a_1_CDS2(pEFNP1)_AB038522
BP-W84-1_assembly.fasta	rep9a_1_repA(pAD1)	96.34	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
BP-W84-1_assembly.fasta	rep33_2_rep(pK214)	82.52	plasmidfinder	X92946	rep33_2_rep(pK214)_X92946
BP-W84-1_assembly.fasta	rep33_1_rep(pSMA198)	88.65	plasmidfinder	HE613570	rep33_1_rep(pSMA198)_HE613570
BP-W84-1_assembly.fasta	rep8b_1_repA(pEJ97p1)	99.80	plasmidfinder	AJ49170	rep8b_1_repA(pEJ97p1)_AJ49170
BP-W84-1_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
NS-0992_assembly.fasta	rep9b_3_repA(pMG2200)	97.82	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-0760_assembly.fasta	rep9b_2_prgW(EF62pC)	100.00	plasmidfinder	CP002494	rep9b_2_prgW(EF62pC)_CP002494
NS-0760_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
ES-C-ST001-15DEC14-0062K_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-C-ST001-15DEC14-0062K_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0205_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-0205_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0340_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
ES-M-ST001-23NOV14-0060M_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-23NOV14-0060M_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-M-ST001-23NOV14-0060M_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
ES-M-ST001-23NOV14-0060M_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
ES-M-ST001-23NOV14-0060M_assembly.fasta	rep21_4_repRC(pSK41)	100.00	plasmidfinder	AF051917	rep21_4_repRC(pSK41)_AF051917
ES-M-ST001-03MAR15-0067J_assembly.fasta	rep9c_2_prgW(pCF10)	97.80	plasmidfinder	AY855841	rep9c_2_prgW(pCF10)_AY855841
ES-M-ST001-03MAR15-0067J_assembly.fasta	repUS43_1_CDS12738(DOp1)	90.13	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0053_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-0053_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-08MAR16-0147A_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-08MAR16-0147A_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-C-ST001-25AUG14-0039K_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-C-ST001-25AUG14-0039K_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-03NOV15-0137B_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-A-FC606-20OCT14-0217J_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-A-FC606-20OCT14-0217J_assembly.fasta	rep1_2_repS(pSM19035)	99.93	plasmidfinder	AY357120	rep1_2_repS(pSM19035)_AY357120
NS-1289_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
NS-1289_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-C-ST001-17FEB15-0065K_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-21JUL14-0029A_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-21JUL14-0029A_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-0228_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
NS-0228_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.92	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1288_assembly.fasta	rep9b_1_prgW(pBEE99)	95.56	plasmidfinder	GU046453	rep9b_1_prgW(pBEE99)_GU046453
NS-1288_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
SWEntR-0252_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
SWEntR-0252_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-M-ST002-23NOV14-0061A_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
ES-M-ST001-05JAN16-0143I_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-M-ST001-05JAN16-0143I_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-C-ST002-25AUG14-0040D_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-C-ST002-25AUG14-0040D_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1336_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1336_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-S-FC404-20JUL15-0555B_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-S-FC404-20JUL15-0555B_assembly.fasta	repUS40_1_repB(pE394)	100.00	plasmidfinder	KP399637	repUS40_1_repB(pE394)_KP399637
ES-M-ST001-21JUL14-0029C_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
ES-M-ST001-21JUL14-0029C_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-C-ST002-25AUG14-0040E_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-C-ST002-25AUG14-0040E_assembly.fasta	rep9b_2_prgW(EF62pC)	96.94	plasmidfinder	CP002494	rep9b_2_prgW(EF62pC)_CP002494
ES-A-FC604-20OCT14-0216K_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-A-FC604-20OCT14-0216K_assembly.fasta	rep1_2_repS(pSM19035)	99.93	plasmidfinder	AY357120	rep1_2_repS(pSM19035)_AY357120
ES-M-ST001-03NOV15-0137I_assembly.fasta	rep1_2_repS(pSM19035)	99.93	plasmidfinder	AY357120	rep1_2_repS(pSM19035)_AY357120
ES-M-ST001-03NOV15-0137I_assembly.fasta	rep33_1_rep(pSMA198)	81.06	plasmidfinder	HE613570	rep33_1_rep(pSMA198)_HE613570
SWEnt-1223_assembly.fasta	rep11c_2_repA(pJS33)	99.90	plasmidfinder	EU370687	rep11c_2_repA(pJS33)_EU370687
NS-0217_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
NS-0131_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0131_assembly.fasta	rep9c_3_repA(pPD1)	96.21	plasmidfinder	D78016	rep9c_3_repA(pPD1)_D78016
NS-0131_assembly.fasta	repUS11_rep(pTEF3)	95.22	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
NS-0238_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0238_assembly.fasta	rep9c_3_repA(pPD1)	99.00	plasmidfinder	D78016	rep9c_3_repA(pPD1)_D78016
NS-0238_assembly.fasta	rep9b_2_prgW(EF62pC)	100.00	plasmidfinder	CP002494	rep9b_2_prgW(EF62pC)_CP002494
NS-0238_assembly.fasta	repUS11_rep(pTEF3)	96.95	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
BP-G42-1_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
BP-G42-1_assembly.fasta	rep8b_1_repA(pEJ97p1)	99.80	plasmidfinder	AJ49170	rep8b_1_repA(pEJ97p1)_AJ49170
BP-G42-1_assembly.fasta	rep11b_1_repA(pEF1071)	99.59	plasmidfinder	AF164559	rep11b_1_repA(pEF1071)_AF164559
BP-R37-3_assembly.fasta	rep9a_1_repA(pAD1)	96.34	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
BP-R37-3_assembly.fasta	rep11b_1_repA(pEF1071)	99.59	plasmidfinder	AF164559	rep11b_1_repA(pEF1071)_AF164559
BP-R37-3_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
ES-A-FC208-23FEB16-0800A_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-A-FC208-23FEB16-0800A_assembly.fasta	rep11c_2_repA(pJS33)	99.90	plasmidfinder	EU370687	rep11c_2_repA(pJS33)_EU370687
NS-1090_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-1090_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-M-ST001-23NOV14-0060B_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-1131_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
NS-1131_assembly.fasta	repUS11_rep(pTEF3)	94.42	plasmidfinder	AE016832	repUS11_rep(pTEF3)_AE016832
NS-1131_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
BP-R26E-1_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
BP-R26E-1_assembly.fasta	repUS1_2_rep(pVEF3)	98.20	plasmidfinder	AM931300	repUS1_2_rep(pVEF3)_AM931300
ES-A-FC303-10AUG15-0566I_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
ES-A-FC303-10AUG15-0566I_assembly.fasta	rep1_2_repS(pSM19035)	99.93	plasmidfinder	AY357120	rep1_2_repS(pSM19035)_AY357120
NS-0020_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0020_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
BP-G138E-2_assembly.fasta	rep33_1_rep(pSMA198)	80.69	plasmidfinder	HE613570	rep33_1_rep(pSMA198)_HE613570
BP-R50-2_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
BP-R50-2_assembly.fasta	rep9a_1_repA(pAD1)	96.20	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
BP-R50-2_assembly.fasta	rep11b_1_repA(pEF1071)	99.59	plasmidfinder	AF164559	rep11b_1_repA(pEF1071)_AF164559
BP-R50-2_assembly.fasta	repUS1_3_rep(pVEF1)	98.19	plasmidfinder	AM296544	repUS1_3_rep(pVEF1)_AM296544
SS-0021_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
SS-0021_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0747_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0747_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
BP-R29-2_assembly.fasta	rep11b_1_repA(pEF1071)	99.59	plasmidfinder	AF164559	rep11b_1_repA(pEF1071)_AF164559
BP-R29-2_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
ES-A-FC201-20OCT14-0203C_assembly.fasta	rep11c_2_repA(pJS33)	83.83	plasmidfinder	EU370687	rep11c_2_repA(pJS33)_EU370687
SWEnt-0985_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
SWEnt-0985_assembly.fasta	rep9c_1_repA(pTW9)	100.00	plasmidfinder	AB563188	rep9c_1_repA(pTW9)_AB563188
NS-0004_assembly.fasta	rep9c_3_repA(pPD1)	99.00	plasmidfinder	D78016	rep9c_3_repA(pPD1)_D78016
NS-0004_assembly.fasta	rep2_1_orf1(pRE25)	100.00	plasmidfinder	X92945	rep2_1_orf1(pRE25)_X92945
NS-0004_assembly.fasta	rep9a_1_repA(pAD1)	95.94	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
ES-S-CB001-14SEP15-0121J_assembly.fasta	rep9b_1_prgW(pBEE99)	87.80	plasmidfinder	GU046453	rep9b_1_prgW(pBEE99)_GU046453
ES-S-CB001-14SEP15-0121J_assembly.fasta	rep9c_1_repA(pTW9)	90.23	plasmidfinder	AB563188	rep9c_1_repA(pTW9)_AB563188
ES-S-CB001-14SEP15-0121J_assembly.fasta	repUS43_1_CDS12738(DOp1)	99.83	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0170_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0170_assembly.fasta	rep9c_3_repA(pPD1)	99.00	plasmidfinder	D78016	rep9c_3_repA(pPD1)_D78016
NS-0170_assembly.fasta	rep9a_1_repA(pAD1)	96.04	plasmidfinder	L01794	rep9a_1_repA(pAD1)_L01794
SWEntR-0295_assembly.fasta	rep9b_3_repA(pMG2200)	100.00	plasmidfinder	AB374546	rep9b_3_repA(pMG2200)_AB374546
SWEntR-0295_assembly.fasta	rep8b_1_repA(pEJ97p1)	94.02	plasmidfinder	AJ49170	rep8b_1_repA(pEJ97p1)_AJ49170
SWEntR-0295_assembly.fasta	rep6_1_repA(pS86)	100.00	plasmidfinder	AJ223161	rep6_1_repA(pS86)_AJ223161
BP-R43E-1_assembly.fasta	repUS1_2_rep(pVEF3)	98.20	plasmidfinder	AM931300	repUS1_2_rep(pVEF3)_AM931300
BP-R43E-1_assembly.fasta	rep8b_1_repA(pEJ97p1)	97.46	plasmidfinder	AJ49170	rep8b_1_repA(pEJ97p1)_AJ49170
NS-0642_assembly.fasta	repUS43_1_CDS12738(DOp1)	100.00	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584
NS-0642_assembly.fasta	rep7a_17_CDS4(pS194)	100.00	plasmidfinder	NC005564	rep7a_17_CDS4(pS194)_NC005564
