NC_005248	NC_005248.1	NC_005248.1	Escherichia coli plasmid pIGAL1, complete sequence
NG_047305	NG_047305.1	NG_047305.1	Proteus mirabilis P13 unnamed aac(6')-Il gene for aminoglycoside N-acetyltransferase AAC(6')-Il, complete CDS
NG_047324	NG_047324.1	NG_047324.1	Escherichia coli R6-5 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_047325	NG_047325.1	NG_047325.1	Escherichia coli MG-1 R751 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_047328	NG_047328.1	NG_047328.1	Vibrio fluvialis unnamed aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_047329	NG_047329.1	NG_047329.1	Pseudomonas aeruginosa R388-R151 hybrid aadA10 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10, complete CDS
NG_047335	NG_047335.1	NG_047335.1	Providencia rettgeri R7K aadA13 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13, complete CDS
NG_047339	NG_047339.1	NG_047339.1	Vibrio cholerae non-O1/non-O139 pRJ354C aadA16 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16, complete CDS
NG_047340	NG_047340.1	NG_047340.1	Escherichia coli 1387 pHS1387 aadA16 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16, complete CDS
NG_047343	NG_047343.1	NG_047343.1	Escherichia coli GUE pGUE-NDM aadA2 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2, complete CDS
NG_047346	NG_047346.1	NG_047346.1	Salmonella enterica subsp. enterica serovar Typhimurium CNM 179/02 pUO-StVR7 aadA22 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22, complete CDS
NG_047360	NG_047360.1	NG_047360.1	Pseudomonas aeruginosa p804/03 aadA6 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6, complete CDS
NG_047368	NG_047368.1	NG_047368.1	Corynebacterium glutamicum LP-6 pTET3 aadA9 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9, complete CDS
NG_047378	NG_047378.1	NG_047378.1	Pediococcus acidilactici NCIMB 6990 pEOC01 aadE gene for aminoglycoside 6-adenylyltransferase AadE, complete CDS
NG_047394	NG_047394.1	NG_047394.1	Enterococcus faecalis pSL1 ant(6)-Ia gene for aminoglycoside nucleotidyltransferase ANT(6)-Ia, complete CDS
NG_047405	NG_047405.1	NG_047405.1	Campylobacter jejuni CG8245 pCG8245 aph(2'')-If gene for aminoglycoside O-phosphotransferase APH(2'')-If, complete CDS
NG_047407	NG_047407.1	NG_047407.1	Campylobacter coli CVM N29710 pN29710-1 aph(2'')-Ig gene for aminoglycoside O-phosphotransferase APH(2'')-Ig, complete CDS
NG_047412	NG_047412.1	NG_047412.1	Escherichia coli RSF1010 aph(3'')-Ib gene for aminoglycoside O-phosphotransferase APH(3'')-Ib, complete CDS
NG_047414	NG_047414.1	NG_047414.1	Escherichia coli HM69 pIP1518 aph(3'')-Ib gene for aminoglycoside O-phosphotransferase APH(3'')-Ib, complete CDS
NG_047415	NG_047415.1	NG_047415.1	Pseudomonas aeruginosa RPL11 aph(3'')-Ib gene for aminoglycoside O-phosphotransferase APH(3'')-Ib, complete CDS
NG_047421	NG_047421.1	NG_047421.1	Enterococcus faecalis pSL1 aph(3')-IIIa gene for aminoglycoside O-phosphotransferase APH(3')-IIIa, complete CDS
NG_047431	NG_047431.1	NG_047431.1	Klebsiella pneumoniae 5214773 pBWH77 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047435	NG_047435.1	NG_047435.1	Salmonella enterica subsp. enterica serovar Typhimurium NTP16 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047436	NG_047436.1	NG_047436.1	Proteus vulgaris UR-75 Rts1 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047438	NG_047438.1	NG_047438.1	Proteus mirabilis R772 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047439	NG_047439.1	NG_047439.1	Avibacterium paragallinarum A14 pYMH5 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047440	NG_047440.1	NG_047440.1	Enterobacter cloacae pEC-IMP aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047441	NG_047441.1	NG_047441.1	Klebsiella pneumoniae GDKA1 pGDKA1 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047445	NG_047445.1	NG_047445.1	Escherichia coli pIE639 aph(3')-Id gene for aminoglycoside O-phosphotransferase APH(3')-Id, complete CDS
NG_047464	NG_047464.1	NG_047464.1	Escherichia coli RSF1010 aph(6)-Id gene for aminoglycoside O-phosphotransferase APH(6)-Id, complete CDS
NG_047467	NG_047467.1	NG_047467.1	Actinobacillus pleuropneumoniae pMS260 aph(6)-Id gene for aminoglycoside O-phosphotransferase APH(6)-Id, complete CDS
NG_047475	NG_047475.1	NG_047475.1	Staphylococcus aureus subsp. aureus ST398 pKKS49 apmA gene for aminocyclitol acetyltransferase ApmA, complete CDS
NG_047476	NG_047476.1	NG_047476.1	Klebsiella pneumoniae BM4536 pIP1204 armA gene for ArmA family 16S rRNA (guanine(1405)-N(7))-methyltransferase, complete CDS
NG_047483	NG_047483.1	NG_047483.1	Pseudomonas aeruginosa Ps142 Rms149 bla gene for class A beta-lactamase, complete CDS
NG_047536	NG_047536.1	NG_047536.1	Staphylococcus haemolyticus NVH97A pNVH97A blaR1 gene for beta-lactam sensor/signal transducer BlaR1, complete CDS
NG_047537	NG_047537.1	NG_047537.1	Staphylococcus epidermidis RP62A pSERP blaR1 gene for beta-lactam sensor/signal transducer BlaR1, complete CDS
NG_047539	NG_047539.1	NG_047539.1	Staphylococcus aureus subsp. aureus TCH60 unnamed blaR1 gene for beta-lactam sensor/signal transducer BlaR1, complete CDS
NG_047562	NG_047562.1	NG_047562.1	Lactobacillus reuteri G4 pTC82 cat-TC gene for type A-9 chloramphenicol O-acetyltransferase Cat-TC, complete CDS
NG_047564	NG_047564.1	NG_047564.1	Staphylococcus aureus pC194 catA gene for type A-9 chloramphenicol O-acetyltransferase, complete CDS
NG_047565	NG_047565.1	NG_047565.1	Staphylococcus aureus pUB112 catA gene for type A-7 chloramphenicol O-acetyltransferase, complete CDS
NG_047566	NG_047566.1	NG_047566.1	Staphylococcus aureus pC221 catA gene for type A-7 chloramphenicol O-acetyltransferase, complete CDS
NG_047567	NG_047567.1	NG_047567.1	Staphylococcus aureus pSCS6 catA gene for type A-7 chloramphenicol O-acetyltransferase, complete CDS
NG_047573	NG_047573.1	NG_047573.1	Vibrio anguillarum pJA7324 catA gene for type A-14 chloramphenicol O-acetyltransferase, complete CDS
NG_047575	NG_047575.1	NG_047575.1	Staphylococcus aureus pKH7 catA gene for type A-7 chloramphenicol O-acetyltransferase, complete CDS
NG_047576	NG_047576.1	NG_047576.1	Staphylococcus aureus MC524 pMC524 /MBM catA gene for type A-9 chloramphenicol O-acetyltransferase, complete CDS
NG_047578	NG_047578.1	NG_047578.1	Enterococcus faecium pRUM catA gene for type A-8 chloramphenicol O-acetyltransferase, complete CDS
NG_047579	NG_047579.1	NG_047579.1	Lactococcus lactis subsp. lactis K214 pK214 catA gene for type A-8 chloramphenicol O-acetyltransferase, complete CDS
NG_047580	NG_047580.1	NG_047580.1	Staphylococcus sciuri pC194-like catA gene for type A-9 chloramphenicol O-acetyltransferase, complete CDS
NG_047586	NG_047586.1	NG_047586.1	Serratia marcescens R478 catA1 gene for type A-1 chloramphenicol O-acetyltransferase, complete CDS
NG_047595	NG_047595.1	NG_047595.1	Aeromonas salmonicida Ar-32 pAr-32 catA2 gene for type A-2 chloramphenicol O-acetyltransferase CatII, complete CDS
NG_047596	NG_047596.1	NG_047596.1	Salmonella sp. TC67 pTC67 catA2 gene for type A-2 chloramphenicol O-acetyltransferase CatII, complete CDS
NG_047599	NG_047599.1	NG_047599.1	Klebsiella pneumoniae BM4686 pIP849 catB gene for type B chloramphenicol O-acetyltransferase, complete CDS
NG_047603	NG_047603.1	NG_047603.1	Pasteurella multocida pJR1 catB2 gene for type B-2 chloramphenicol O-acetyltransferase CatB2, complete CDS
NG_047604	NG_047604.1	NG_047604.1	[Enterobacter] aerogenes pBWH301 catB3 gene for type B-3 chloramphenicol O-acetyltransferase CatB3, complete CDS
NG_047605	NG_047605.1	NG_047605.1	Salmonella enterica subsp. enterica serovar Typhimurium incFI catB3 gene for type B-3 chloramphenicol O-acetyltransferase CatB3, complete CDS
NG_047607	NG_047607.1	NG_047607.1	Morganella morganii M/0502-1 unnamed catB3 gene for type B-3 chloramphenicol O-acetyltransferase CatB3, complete CDS
NG_047612	NG_047612.1	NG_047612.1	Klebsiella pneumoniae He96 pHe96 catB3 gene for type B-3 chloramphenicol O-acetyltransferase CatB3, complete CDS
NG_047616	NG_047616.1	NG_047616.1	Klebsiella pneumoniae pKB42 catB8 gene for type B-3 chloramphenicol O-acetyltransferase CatB8, complete CDS
NG_047619	NG_047619.1	NG_047619.1	Shigella sonnei pSS2852 catB8 gene for type B-3 chloramphenicol O-acetyltransferase CatB8, complete CDS
NG_047646	NG_047646.1	NG_047646.1	Pseudomonas aeruginosa R1033 cmlA1 gene for chloramphenicol efflux MFS transporter CmlA1, complete CDS
NG_047652	NG_047652.1	NG_047652.1	Klebsiella pneumoniae Kp0506 p0506 cmlA4 gene for chloramphenicol efflux MFS transporter CmlA4, complete CDS
NG_047653	NG_047653.1	NG_047653.1	Escherichia coli MG-1 R751 cmlA5 gene for chloramphenicol efflux MFS transporter CmlA5, complete CDS
NG_047657	NG_047657.1	NG_047657.1	[Enterobacter] aerogenes BM2688-I pIP833 cmlB gene for chloramphenicol efflux MFS transporter CmlB, complete CDS
NG_047658	NG_047658.1	NG_047658.1	Bordetella bronchiseptica pKBB1115 (naturally occurring) (50 kb) cmlB1 gene for chloramphenicol efflux MFS transporter CmlB1, complete CDS
NG_047686	NG_047686.1	NG_047686.1	Escherichia coli pDGO100 dfrA10 gene for trimethoprim-resistant dihydrofolate reductase DfrA10, complete CDS
NG_047694	NG_047694.1	NG_047694.1	Escherichia coli pUK1329 dfrA14 gene for trimethoprim-resistant dihydrofolate reductase DfrA14, complete CDS
NG_047695	NG_047695.1	NG_047695.1	Escherichia coli pUK163 dfrA14 gene for trimethoprim-resistant dihydrofolate reductase DfrA14, complete CDS
NG_047696	NG_047696.1	NG_047696.1	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 P5060690 pDEP61 dfrA14 gene for trimethoprim-resistant dihydrofolate reductase DfrA14, complete CDS
NG_047705	NG_047705.1	NG_047705.1	Salmonella enterica subsp. enterica serovar Typhimurium DT104-1178 pIE1142 dfrA16 gene for trimethoprim-resistant dihydrofolate reductase DfrA16, complete CDS
NG_047706	NG_047706.1	NG_047706.1	Escherichia coli 785-D pMSP071 dfrA16 gene for trimethoprim-resistant dihydrofolate reductase DfrA16, complete CDS
NG_047707	NG_047707.1	NG_047707.1	Escherichia coli pKO56 dfrA16 gene for trimethoprim-resistant dihydrofolate reductase DfrA16, complete CDS
NG_047712	NG_047712.1	NG_047712.1	Escherichia coli GL1 unnamed dfrA17 gene for trimethoprim-resistant dihydrofolate reductase DfrA17, complete CDS
NG_047714	NG_047714.1	NG_047714.1	Pasteurella multocida pCCK154 dfrA20 gene for trimethoprim-resistant dihydrofolate reductase DfrA20, complete CDS
NG_047719	NG_047719.1	NG_047719.1	Salmonella enterica subsp. enterica serovar Typhimurium t-ST4 dfrA23 gene for trimethoprim-resistant dihydrofolate reductase DfrA23, complete CDS
NG_047728	NG_047728.1	NG_047728.1	Vibrio cholerae O1 2004VN84 pVN84 dfrA31 gene for trimethoprim-resistant dihydrofolate reductase DfrA31, complete CDS
NG_047741	NG_047741.1	NG_047741.1	Escherichia coli pLMO226 dfrA8 gene for trimethoprim-resistant dihydrofolate reductase DfrA8, complete CDS
NG_047743	NG_047743.1	NG_047743.1	Escherichia coli pLMO239 dfrB1 gene for trimethoprim-resistant dihydrofolate reductase DfrB1, complete CDS
NG_047757	NG_047757.1	NG_047757.1	Yersinia ruckeri YR71 pYR1 dfrI gene for trimethoprim-resistant dihydrofolate reductase DfrI, complete CDS
NG_047759	NG_047759.1	NG_047759.1	Staphylococcus aureus subsp. aureus ST398 pKKS825 dfrK gene for trimethoprim-resistant dihydrofolate reductase DfrK, complete CDS
NG_047763	NG_047763.1	NG_047763.1	Providencia stuartii 1723 pLQ1723 ere(A) gene for EreA family erythromycin esterase, complete CDS
NG_047765	NG_047765.1	NG_047765.1	Escherichia coli BM2195 pIP1100 ere(A) gene for EreA family erythromycin esterase, complete CDS
NG_047768	NG_047768.1	NG_047768.1	Escherichia coli BM2570 pIP1527 ere(B) gene for EreB family erythromycin esterase, complete CDS
NG_047769	NG_047769.1	NG_047769.1	Escherichia coli pIP1527 ere(B) gene for EreB family erythromycin esterase, complete CDS
NG_047776	NG_047776.1	NG_047776.1	Staphylococcus sciuri pSCFS1 erm(33) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(33), complete CDS
NG_047779	NG_047779.1	NG_047779.1	Micrococcus luteus MAW843 pMEC2 erm(36) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(36), complete CDS
NG_047794	NG_047794.1	NG_047794.1	Enterococcus faecalis plasmid pAM-beta1 pAM-beta1 erm(B) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), complete CDS
NG_047797	NG_047797.1	NG_047797.1	Streptococcus pyogenes pBT233 erm(B) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), complete CDS
NG_047803	NG_047803.1	NG_047803.1	Lactobacillus reuteri pLUL631 erm(B) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), complete CDS
NG_047805	NG_047805.1	NG_047805.1	Staphylococcus aureus pE194 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047806	NG_047806.1	NG_047806.1	Bacillus subtilis pIM13 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047807	NG_047807.1	NG_047807.1	Staphylococcus epidermidis pNE131 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047809	NG_047809.1	NG_047809.1	Staphylococcus aureus T48 pT48 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047810	NG_047810.1	NG_047810.1	Staphylococcus chromogenes 3688 pPV141 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047811	NG_047811.1	NG_047811.1	Staphylococcus haemolyticus 227a pSES4a erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047812	NG_047812.1	NG_047812.1	Staphylococcus hominis 736153 pSES5 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047813	NG_047813.1	NG_047813.1	Staphylococcus simulans 13044 pPV142 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047814	NG_047814.1	NG_047814.1	Staphylococcus hyicus 46 pSES21 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047815	NG_047815.1	NG_047815.1	Staphylococcus aureus CMRSA pWBG738 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047816	NG_047816.1	NG_047816.1	Staphylococcus saprophyticus pSES22 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047817	NG_047817.1	NG_047817.1	Lactobacillus reuteri PA-16 unnamed erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047824	NG_047824.1	NG_047824.1	Bacteroides fragilis pBF4 erm(F) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F), complete CDS
NG_047825	NG_047825.1	NG_047825.1	Bacteroides fragilis BI136 erm(F) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F), complete CDS
NG_047839	NG_047839.1	NG_047839.1	Lactobacillus sp. PC121B p121BS erm(T) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T), complete CDS
NG_047840	NG_047840.1	NG_047840.1	Lactobacillus fermentum pLME300 erm(T) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T), complete CDS
NG_047847	NG_047847.1	NG_047847.1	Corynebacterium diphtheriae pNG2 erm(X) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X), complete CDS
NG_047849	NG_047849.1	NG_047849.1	Corynebacterium striatum M82B pTP10 erm(X) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X), complete CDS
NG_047852	NG_047852.1	NG_047852.1	Trueperella pyogenes pAP2 erm(X) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X), complete CDS
NG_047857	NG_047857.1	NG_047857.1	Staphylococcus lentus pSCFS2 fexA gene for chloramphenicol/florfenicol efflux MFS transporter FexA, complete CDS
NG_047858	NG_047858.1	NG_047858.1	Staphylococcus simulans pSCFS4 fexA gene for chloramphenicol/florfenicol efflux MFS transporter FexA, complete CDS
NG_047859	NG_047859.1	NG_047859.1	Staphylococcus warneri pSCFS6 fexA gene for chloramphenicol/florfenicol efflux MFS transporter FexA, complete CDS
NG_047862	NG_047862.1	NG_047862.1	Escherichia coli 10660-1 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047865	NG_047865.1	NG_047865.1	Klebsiella pneumoniae R55 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047866	NG_047866.1	NG_047866.1	Escherichia coli pMBSF1 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047869	NG_047869.1	NG_047869.1	Vibrio cholerae PL107b pKA1 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047870	NG_047870.1	NG_047870.1	Pasteurella multocida pCCK381 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047871	NG_047871.1	NG_047871.1	Bibersteinia trehalosi pCCK13698 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047874	NG_047874.1	NG_047874.1	Aeromonas bestiarum 5S9 pAb5S9 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047876	NG_047876.1	NG_047876.1	Pasteurella multocida pCCK1900 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047877	NG_047877.1	NG_047877.1	Edwardsiella ictaluri pM07-1 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047878	NG_047878.1	NG_047878.1	Escherichia coli AR060302 pAR060302 floR gene for chloramphenicol/florfenicol efflux MFS transporter FloR, complete CDS
NG_047891	NG_047891.1	NG_047891.1	Escherichia coli pHPA fosC2 gene for FosC2 family fosfomycin resistance glutathione transferase, complete CDS
NG_047900	NG_047900.1	NG_047900.1	Staphylococcus aureus pUB101 fusB gene for fusidic acid resistance EF-G-binding protein FusB, complete CDS
NG_047914	NG_047914.1	NG_047914.1	Staphylococcus aureus pBMSa1 lnu(A) gene for lincosamide nucleotidyltransferase Lnu(A), complete CDS
NG_047915	NG_047915.1	NG_047915.1	Staphylococcus chromogenes pLNU1 lnu(A) gene for lincosamide nucleotidyltransferase Lnu(A), complete CDS
NG_047916	NG_047916.1	NG_047916.1	Staphylococcus chromogenes pLNU4 lnu(A) gene for lincosamide nucleotidyltransferase Lnu(A), complete CDS
NG_047917	NG_047917.1	NG_047917.1	Staphylococcus simulans pLNU5 (naturally occurring) lnu(A) gene for lincosamide nucleotidyltransferase Lnu(A), complete CDS
NG_047918	NG_047918.1	NG_047918.1	Staphylococcus haemolyticus pLNU7 (naturally occurring) lnu(A) gene for lincosamide nucleotidyltransferase Lnu(A), complete CDS
NG_047919	NG_047919.1	NG_047919.1	Staphylococcus epidermidis pLNU6 (naturally occurring) lnu(A) gene for lincosamide nucleotidyltransferase Lnu(A), complete CDS
NG_047923	NG_047923.1	NG_047923.1	Enterococcus faecalis 418 pEF418 lnu(B) gene for lincosamide nucleotidyltransferase Lnu(B), complete CDS
NG_047929	NG_047929.1	NG_047929.1	Clostridium perfringens 95-949 pJIR2774 lnu(P) gene for lincosamide nucleotidyltransferase Lnu(P), complete CDS
NG_047933	NG_047933.1	NG_047933.1	Staphylococcus sciuri pSCFS1 lsa(B) gene for ABC-F type ribosomal protection protein Lsa(B), complete CDS
NG_047935	NG_047935.1	NG_047935.1	Enterococcus faecalis 418 pEF418 lsa(E) gene for ABC-F type ribosomal protection protein Lsa(E), complete CDS
NG_047977	NG_047977.1	NG_047977.1	Exiguobacterium sp. S3-2 pMC1 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS
NG_047978	NG_047978.1	NG_047978.1	Escherichia coli P286.10.99.C3 pP286 mef(B) gene for macrolide efflux MFS transporter Mef(B), complete CDS
NG_047979	NG_047979.1	NG_047979.1	Photobacterium damselae subsp. damselae 04Ya311 pAQU1 mef(C) gene for macrolide efflux MFS transporter Mef(C), complete CDS
NG_047998	NG_047998.1	NG_047998.1	Photobacterium damselae subsp. damselae 04Ya311 pAQU1 mph(G) gene for Mph(G) family macrolide 2'-phosphotransferase, complete CDS
NG_048001	NG_048001.1	NG_048001.1	Staphylococcus aureus pEP2104 msr(A) gene for ABC-F type ribosomal protection protein Msr(A), complete CDS
NG_048007	NG_048007.1	NG_048007.1	Citrobacter freundii pCTX-M3 msr(E) gene for ABC-F type ribosomal protection protein Msr(E), complete CDS
NG_048008	NG_048008.1	NG_048008.1	Staphylococcus aureus HUNSC491 pPR9 mupA gene for mupirocin-resistant isoleucine--tRNA ligase MupA, complete CDS
NG_048011	NG_048011.1	NG_048011.1	Bacteroides vulgatus BV17 pIP417 nimA gene for nitroimidazole resistance protein NimA, complete CDS
NG_048018	NG_048018.1	NG_048018.1	Escherichia coli pARS3 npmA gene for 16S rRNA (adenine(1408)-N(1))-methyltransferase NpmA, complete CDS
NG_048023	NG_048023.1	NG_048023.1	Enterococcus faecalis E394 pE394 optrA gene for ABC-F type ribosomal protection protein OptrA, complete CDS
NG_048024	NG_048024.1	NG_048024.1	Escherichia coli pOLA52 oqxA gene for multidrug efflux RND transporter periplasmic adaptor subunit OqxA, complete CDS
NG_048025	NG_048025.1	NG_048025.1	Escherichia coli pOLA52 oqxB gene for multidrug efflux RND transporter permease subunit OqxB, complete CDS
NG_048037	NG_048037.1	NG_048037.1	Staphylococcus aureus TPS89 pTZ2089 qacA gene for quaternary ammonium compound efflux MFS transporter QacA, complete CDS
NG_048041	NG_048041.1	NG_048041.1	[Enterobacter] aerogenes R751 qacE gene for quaternary ammonium compound efflux SMR transporter QacE, complete CDS
NG_048046	NG_048046.1	NG_048046.1	Staphylococcus aureus pNVH01 qacJ gene for quaternary ammonium compound efflux SMR transporter QacJ, complete CDS
NG_048048	NG_048048.1	NG_048048.1	Vibrio cholerae p3iANG qacL gene for quaternary ammonium compound efflux SMR transporter QacL, complete CDS
NG_048054	NG_048054.1	NG_048054.1	Proteus mirabilis 06-489 pHS10 qnrC gene for QnrC family quinolone resistance pentapeptide repeat protein, complete CDS
NG_048069	NG_048069.1	NG_048069.1	Escherichia coli pIE639 sat3 gene for streptothricin N-acetyltransferase Sat3, complete CDS
NG_048073	NG_048073.1	NG_048073.1	Campylobacter jejuni pCJE8480 sat4 gene for streptothricin N-acetyltransferase Sat4, complete CDS
NG_048074	NG_048074.1	NG_048074.1	Staphylococcus aureus ST398 pDJ91S spd gene for ANT(9) family aminoglycoside nucleotidyltransferase Spd, complete CDS
NG_048078	NG_048078.1	NG_048078.1	Lactococcus lactis subsp. lactis K214 pK214 str gene for streptomycin adenylyltransferase Str, complete CDS
NG_048081	NG_048081.1	NG_048081.1	Escherichia coli R46 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
