plasmid_0;464+,461+,475+,481-,465-
plasmid_243;169+
plasmid_244;185+
plasmid_245;409+
plasmid_246;290+
plasmid_247;331+
plasmid_248;141+
plasmid_249;88+
plasmid_250;362+
plasmid_251;201+
plasmid_252;72+
plasmid_253;187+
plasmid_254;86+
plasmid_255;60+
plasmid_256;348+
plasmid_257;207+
plasmid_258;112+
plasmid_259;388+
plasmid_260;357+
plasmid_261;415+
plasmid_262;390+
plasmid_263;39+
plasmid_264;227+
plasmid_265;197+
plasmid_266;298+
plasmid_267;307+
plasmid_268;180+
plasmid_269;367+
plasmid_270;451+
plasmid_271;354+
plasmid_272;228+
plasmid_273;346+
plasmid_274;373+
plasmid_275;264+
plasmid_276;281+
plasmid_277;231+
plasmid_278;381+
plasmid_279;244+
plasmid_280;128+
plasmid_281;179+
plasmid_282;293+
plasmid_283;147+
plasmid_284;467+,459-,476-,473-,466+,12+
plasmid_285;476-,473-,466+,2+
plasmid_286;468+,459-,476-,473-,466+
plasmid_287;9-,477+
plasmid_288;64+,375+,407+,30-,477+
plasmid_289;477+
plasmid_290;5-,456+,283+
plasmid_291;458+
plasmid_292;407+,233+
plasmid_293;407+,226+
plasmid_294;407+
