Supplementary Data 5. Plasmid metadata,,,,,,,,,,,,,,,,,,,,,
AccessionVersion,SourceDB,MoleculeType,SeqName,Size,Topology,UpdateDate,Title,TaxId,TaxName,TaxSuperkingdom,TaxPhylum,TaxClass,TaxOrder,TaxFamily,TaxGenus,TaxSpecies,MOB(1),PFinder_80 (2),PFinder_95 (3),Filtered (4),
NC_003894.1,refseq,Plasmid,pLP9000,9253,circular,16-DEC-2014,"Lactobacillus plantarum plasmid pLP9000, complete sequence",1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,-,-,-,No,
NC_009034.1,refseq,Plasmid,pK1S1,5475,circular,16-DEC-2014,"Bacillus thuringiensis plasmid pK1S1, complete sequence",1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis,MOBV,-,-,No,
NC_009353.1,refseq,Plasmid,pMSR-1,35803,circular,16-DEC-2014,"Magnetospirillum gryphiswaldense MSR-1 plasmid, complete sequence",431944,Magnetospirillum gryphiswaldense MSR-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum gryphiswaldense,-,-,-,No,
NC_009739.1,refseq,Plasmid,pMATVIM-7,24179,circular,16-DEC-2014,"Pseudomonas aeruginosa plasmid pMATVIM-7, complete sequence",287,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,MOBP,IncP6,-,No,
NC_005327.1,refseq,Plasmid,pC15-1a,92353,circular,16-DEC-2014,"Escherichia coli plasmid pC15-1a, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFII,IncFII,No,
NC_003350.1,refseq,Plasmid,pWW0,116580,circular,16-DEC-2014,"Pseudomonas putida plasmid pWW0, complete sequence",303,Pseudomonas putida,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,MOBF,-,-,No,
NC_004999.1,refseq,Plasmid,pDTG1,83042,circular,16-DEC-2014,"Pseudomonas putida NCIB 9816-4 plasmid pDTG1, complete sequence",303,Pseudomonas putida,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,MOBF,-,-,No,
NC_007365.1,refseq,Plasmid,pO113,165548,linear,16-DEC-2014,"Escherichia coli EH41 plasmid pO113, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBP,IncB/O/K/Z;IncFIB(AP001918),IncFIB(AP001918),No,
NC_005249.1,refseq,Plasmid,pLVPK,219385,circular,16-DEC-2014,"Klebsiella pneumoniae CG43 plasmid pLVPK, complete sequence",1244085,Klebsiella pneumoniae CG43,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,IncFIB(K);IncHI1B,IncHI1B,No,
NC_006323.1,refseq,Plasmid,pG8786,137036,circular,16-DEC-2014,"Yersinia pestis plasmid pG8786, complete sequence",632,Yersinia pestis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,MOBF,IncFIB(pHCM2);IncFII(Yp),IncFIB(pHCM2);IncFII(Yp),No,
NC_008275.1,refseq,Plasmid,pWW53,107929,circular,16-DEC-2014,"Pseudomonas putida MT53 plasmid pWW53, complete sequence",303,Pseudomonas putida,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,-,-,-,No,
NC_002525.1,refseq,Plasmid,R721,75582,circular,16-DEC-2014,"Escherichia coli K-12 plasmid R721, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBP,IncI2,IncI2,No,
NC_005211.1,refseq,Plasmid,R478,274762,circular,16-DEC-2014,"Serratia marcescens plasmid R478, complete sequence",615,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,MOBH,IncHI2;IncHI2A;RepA,IncHI2;IncHI2A,No,
NC_005205.1,refseq,Plasmid,pPSR1,72601,circular,16-DEC-2014,"Pseudomonas syringae pv. syringae A2 plasmid pPSR1, complete sequence",321,Pseudomonas syringae pv. syringae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,MOBP,-,-,No,
NC_004564.1,refseq,Plasmid,pYVa127/90,66591,circular,16-DEC-2014,"Yersinia enterocolitica plasmid pYVa127/90, complete sequence",630,Yersinia enterocolitica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,-,IncFII(pYVa12790),IncFII(pYVa12790),No,
NC_005024.1,refseq,Plasmid,pSK41,46445,circular,16-DEC-2014,"Staphylococcus aureus plasmid pSK41, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,MOBQ;MOBV,rep13;rep15;rep21;repUS12,rep15;rep21;repUS12,No,
NC_005250.1,refseq,Plasmid,pJM1,65009,circular,16-DEC-2014,"Vibrio anguillarum 775 plasmid pJM1, complete sequence",882102,Vibrio anguillarum 775,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio anguillarum,-,-,-,No,
NC_008357.1,refseq,Plasmid,pBS228,89147,circular,16-DEC-2014,"Pseudomonas aeruginosa plasmid pBS228, complete sequence",287,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,MOBP,IncP1,IncP1,No,
NC_006671.1,refseq,Plasmid,pAPEC-O2-R,101375,circular,16-DEC-2014,"Escherichia coli A2363 plasmid pAPEC-O2-R, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFII(pRSB107),IncFII(pRSB107),No,
NC_008460.1,refseq,Plasmid,pO86A1,120730,circular,16-DEC-2014,"Escherichia coli plasmid pO86A1, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFIB(AP001918);IncFII(pCoo),IncFIB(AP001918);IncFII(pCoo),No,
NC_008490.1,refseq,Plasmid,pMG828-5,8985,circular,16-DEC-2014,"Escherichia coli plasmid pMG828-5, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,-,-,No,
NC_008613.1,refseq,Plasmid,pP91278,131520,circular,16-DEC-2014,"Photobacterium damselae subsp. piscicida plasmid pP91278, complete sequence",38294,Photobacterium damselae subsp. piscicida,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium damselae,MOBH,IncA/C2,IncA/C2,No,
NC_006277.2,refseq,Plasmid,pAgK84,44420,circular,16-DEC-2014,"Agrobacterium tumefaciens K84 plasmid pAgK84, complete sequence",358,Agrobacterium tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,-,-,-,No,
NC_002377.1,refseq,Plasmid,Ti,194140,circular,16-DEC-2014,"Agrobacterium tumefaciens plasmid Ti, complete sequence",358,Agrobacterium tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,MOBP;MOBQ,-,-,No,
NC_001911.1,refseq,Plasmid,pLeu-Dn,7768,circular,16-DEC-2014,"Buchnera aphidicola Dn plasmid pLeu-Dn, complete sequence",9,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,-,-,-,No,
NC_009139.1,refseq,Plasmid,pYR1,158038,circular,16-DEC-2014,"Yersinia ruckeri YR71 plasmid pYR1, complete sequence",29486,Yersinia ruckeri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia ruckeri,MOBH,IncA/C2,IncA/C2,No,
NC_009435.1,refseq,Plasmid,pGdh442,68319,circular,16-DEC-2014,"Lactococcus lactis NCDO 1867 plasmid pGdh442, complete sequence",1358,Lactococcus lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,-,-,-,No,
NC_004998.1,refseq,Plasmid,p1658/97,125491,circular,16-DEC-2014,"Escherichia coli plasmid p1658/97, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFIB(AP001918);IncFII,IncFIB(AP001918);IncFII,No,
NC_007675.1,refseq,Plasmid,pAPEC-O2-ColV,184501,circular,16-DEC-2014,"Escherichia coli A2363 plasmid pAPEC-O2-ColV, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFIB(AP001918);IncFII,IncFIB(AP001918);IncFII,No,
NC_009602.1,refseq,Plasmid,pSFO157,121239,circular,16-DEC-2014,"Escherichia coli plasmid pSFO157, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFIA;IncFIB(AP001918);IncFIB(AP001918);IncFII,IncFIA;IncFIB(AP001918);IncFIB(AP001918);IncFII,No,
NC_010076.1,refseq,Plasmid,pBtoxis,127923,circular,16-DEC-2014,"Bacillus thuringiensis serovar israelensis plasmid pBtoxis, complete sequence",1430,Bacillus thuringiensis serovar israelensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis,-,-,-,No,
NC_010111.1,refseq,Plasmid,pTZ4,4555,circular,16-DEC-2014,"Staphylococcus aureus plasmid pTZ4, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,MOBP,rep7,rep7,No,
NC_007772.1,refseq,Plasmid,pCPF4969,70480,circular,16-DEC-2014,"Clostridium perfringens CPE str. F4969 plasmid pCPF4969, complete sequence",451756,Clostridium perfringens CPE str. F4969,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,MOBM,-,-,No,
NC_006828.1,refseq,Plasmid,pHS-Tet,5147,circular,16-DEC-2014,"Haemophilus parasuis HS1543 plasmid pHS-Tet, complete sequence",738,[Haemophilus] parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[Haemophilus] parasuis,MOBP,-,-,No,
NC_006829.1,refseq,Plasmid,pHS-Rec,9462,circular,16-DEC-2014,"Haemophilus parasuis plasmid pHS-Rec, complete sequence",738,[Haemophilus] parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[Haemophilus] parasuis,-,-,-,No,
NC_007928.1,refseq,Plasmid,pSA1308,2756,circular,16-DEC-2014,"Staphylococcus aureus plasmid pSA1308, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,-,rep21,rep21,No,
NC_007931.1,refseq,Plasmid,pSA1379,22787,circular,16-DEC-2014,"Staphylococcus aureus plasmid pSA1379, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,-,rep16;rep19,rep16;rep19,No,
NC_005018.1,refseq,Plasmid,pKPN2,4196,circular,16-DEC-2014,"Klebsiella pneumoniae 2kI plasmid pKPN2, complete sequence",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,ColRNAI,-,No,
NC_002144.1,refseq,Plasmid,pYC,5919,circular,16-DEC-2014,"Yersinia pestis CH971662 plasmid pYC, complete sequence",632,Yersinia pestis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,-,Col(YC),Col(YC),No,
NC_002096.1,refseq,Plasmid,pKH7,4118,linear,16-DEC-2014,"Staphylococcus aureus plasmid pKH7, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,MOBV,rep7,rep7,No,
NC_005020.1,refseq,Plasmid,pKH3,2979,circular,16-DEC-2014,"Staphylococcus aureus SA5 plasmid pKH3, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,-,rep21,rep21,No,
NC_002635.1,refseq,Plasmid,pKJ36,3625,circular,16-DEC-2014,"Bifidobacterium longum KJ plasmid pKJ36, complete sequence",216816,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,MOBQ,-,-,No,
NC_006843.1,refseq,Plasmid,pTB6,3624,circular,16-DEC-2014,"Bifidobacterium longum plasmid pTB6, complete sequence",216816,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,MOBQ,-,-,No,
NC_001767.1,refseq,Plasmid,pKH6,4439,circular,16-DEC-2014,"Staphylococcus aureus plasmid pKH6, complete sequence",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,MOBV,rep7,rep7,No,
NC_005015.1,refseq,Plasmid,pIP843,7086,circular,16-DEC-2014,"Klebsiella pneumoniae BM4493 plasmid pIP843, complete sequence",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,ColRNAI,-,No,
NC_005567.1,refseq,Plasmid,pGI3,11365,circular,16-DEC-2014,"Bacillus thuringiensis H1.1 plasmid pGI3, complete sequence",1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis,-,-,-,No,
NC_001277.1,refseq,Plasmid,pMD136,19515,circular,16-DEC-2014,"Pediococcus pentosaceus ATCC43200 plasmid pMD136, complete sequence",1255,Pediococcus pentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,MOBP,-,-,No,
NC_007100.1,refseq,Plasmid,Rms149,57121,circular,16-DEC-2014,"Pseudomonas aeruginosa plasmid Rms149, complete sequence",287,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,MOBP,IncP6,IncP6,No,
NC_008356.1,refseq,Plasmid,pLNU6,2546,circular,16-DEC-2014,"Staphylococcus epidermidis plasmid pLNU6, complete sequence",1282,Staphylococcus epidermidis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,-,rep21,rep21,No,
NC_008487.1,refseq,Plasmid,pMG828-2,4091,circular,16-DEC-2014,"Escherichia coli plasmid pMG828-2, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBQ,Col8282,Col8282,No,
NC_008488.1,refseq,Plasmid,pMG828-3,5219,circular,16-DEC-2014,"Escherichia coli plasmid pMG828-3, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBP,ColRNAI,-,No,
NC_008489.1,refseq,Plasmid,pMG828-4,7462,circular,16-DEC-2014,"Escherichia coli plasmid pMG828-4, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBQ,Col156,Col156,No,
